TP9,AF7,AF8,TP10
-74.21875,-46.38671875,-57.6171875,-63.96484375
-0.9765625,-7.8125,-42.96875,-17.578125
9.765625,-16.11328125,-45.8984375,-20.99609375
-54.6875,-53.22265625,-61.03515625,-70.80078125
-111.81640625,-77.1484375,-74.70703125,-101.5625
-55.17578125,-37.109375,-62.98828125,-50.29296875
8.7890625,-4.8828125,-34.1796875,0.48828125
-12.6953125,-17.08984375,-26.85546875,-19.53125
-71.77734375,-60.05859375,-46.875,-70.3125
-132.32421875,-96.6796875,-60.05859375,-102.05078125
-116.2109375,-69.82421875,-40.52734375,-76.66015625
-47.36328125,-25.87890625,-17.08984375,-31.73828125
-16.11328125,-22.94921875,-22.94921875,-18.5546875
-63.96484375,-57.6171875,-47.36328125,-60.05859375
-127.44140625,-88.37890625,-64.94140625,-101.07421875
-108.88671875,-74.21875,-56.640625,-89.35546875
-23.92578125,-23.92578125,-35.15625,-25.390625
7.8125,-1.953125,-30.76171875,0.0
-42.96875,-40.0390625,-50.78125,-49.31640625
-111.81640625,-85.9375,-69.82421875,-89.84375
-114.2578125,-68.84765625,-61.5234375,-78.61328125
-34.66796875,-15.13671875,-31.73828125,-25.390625
15.625,0.9765625,-20.01953125,4.39453125
-22.4609375,-35.15625,-43.9453125,-34.1796875
-94.7265625,-81.0546875,-70.3125,-83.49609375
-117.1875,-83.0078125,-65.4296875,-93.26171875
-42.48046875,-31.25,-41.50390625,-43.45703125
19.53125,3.90625,-27.83203125,-7.32421875
-12.6953125,-28.3203125,-35.15625,-26.85546875
-83.984375,-64.94140625,-53.22265625,-68.84765625
-125.9765625,-74.70703125,-59.5703125,-85.44921875
-56.640625,-37.109375,-33.203125,-29.78515625
17.08984375,-1.46484375,-18.06640625,16.6015625
-7.8125,-26.3671875,-35.64453125,-13.671875
-77.63671875,-64.94140625,-54.6875,-67.3828125
-113.76953125,-74.21875,-54.6875,-86.42578125
-49.31640625,-29.78515625,-36.62109375,-46.38671875
20.5078125,6.34765625,-27.83203125,-1.953125
11.23046875,-9.765625,-36.1328125,-12.6953125
-54.6875,-59.08203125,-57.12890625,-66.40625
-110.3515625,-78.61328125,-66.89453125,-98.14453125
-63.96484375,-29.78515625,-45.8984375,-56.640625
17.578125,0.0,-24.4140625,-0.9765625
18.5546875,-16.6015625,-30.76171875,-6.8359375
-56.15234375,-50.78125,-55.17578125,-60.05859375
-115.234375,-78.125,-67.3828125,-92.28515625
-75.1953125,-50.29296875,-50.29296875,-57.12890625
8.30078125,-5.37109375,-34.66796875,-1.46484375
