TP9,AF7,AF8,TP10
-74.21875,-54.19921875,-54.6875,-63.96484375
-41.9921875,-31.25,-32.2265625,-39.0625
-5.859375,-22.4609375,-23.4375,-20.99609375
-5.859375,-49.8046875,-28.3203125,-34.1796875
-32.2265625,-73.2421875,-45.8984375,-59.08203125
-46.38671875,-51.26953125,-49.31640625,-65.4296875
-27.34375,-43.9453125,-43.45703125,-45.41015625
-9.765625,-34.66796875,-42.96875,-24.4140625
-14.6484375,-37.59765625,-33.203125,-23.4375
-49.31640625,-69.82421875,-41.9921875,-47.8515625
-78.125,-67.87109375,-50.29296875,-66.40625
-61.03515625,-47.36328125,-43.45703125,-49.8046875
-25.87890625,-37.59765625,-41.9921875,-27.34375
-22.4609375,-40.52734375,-45.41015625,-27.83203125
-58.10546875,-61.5234375,-46.875,-56.15234375
-81.0546875,-74.70703125,-45.8984375,-69.82421875
-77.1484375,-52.24609375,-43.45703125,-51.26953125
-42.48046875,-15.625,-38.0859375,-21.484375
-25.390625,-28.80859375,-35.15625,-18.06640625
-63.4765625,-76.171875,-43.45703125,-51.26953125
-96.6796875,-89.35546875,-55.17578125,-75.1953125
-81.0546875,-48.33984375,-47.8515625,-53.7109375
-41.50390625,-25.87890625,-40.52734375,-25.87890625
-28.3203125,-40.0390625,-38.0859375,-25.87890625
-52.734375,-51.26953125,-47.36328125,-52.734375
-81.0546875,-60.05859375,-59.5703125,-78.125
-72.75390625,-48.828125,-52.734375,-66.89453125
-37.59765625,-26.3671875,-42.96875,-36.62109375
-15.625,-28.3203125,-44.43359375,-25.87890625
-23.4375,-51.7578125,-54.6875,-45.41015625
-55.17578125,-68.84765625,-55.6640625,-68.359375
-65.4296875,-83.0078125,-53.22265625,-66.89453125
-22.94921875,-56.640625,-40.52734375,-35.15625
3.41796875,-25.390625,-38.57421875,-25.87890625
-27.34375,-39.0625,-54.6875,-48.828125
-69.3359375,-56.640625,-46.38671875,-66.89453125
-81.0546875,-59.08203125,-41.50390625,-68.84765625
-55.17578125,-34.66796875,-41.015625,-37.59765625
-42.96875,-29.78515625,-41.50390625,-19.04296875
-55.6640625,-54.6875,-44.43359375,-38.0859375
-80.56640625,-76.171875,-43.45703125,-62.01171875
-93.26171875,-66.89453125,-50.29296875,-66.40625
-63.96484375,-44.921875,-49.31640625,-43.45703125
-33.203125,-41.015625,-34.66796875,-25.390625
-37.59765625,-47.36328125,-35.64453125,-41.9921875
-68.84765625,-64.453125,-53.7109375,-65.4296875
-93.75,-70.3125,-56.640625,-70.3125
-66.89453125,-48.828125,-41.9921875,-45.8984375
-25.390625,-25.390625,-52.734375,-28.80859375
-20.01953125,-37.109375,-57.12890625,-44.43359375
-61.5234375,-59.5703125,-40.52734375,-75.68359375
-100.5859375,-74.21875,-53.22265625,-90.8203125
-74.70703125,-47.8515625,-55.17578125,-59.5703125
-35.64453125,-12.6953125,-41.50390625,-33.69140625
-31.73828125,-36.1328125,-42.96875,-40.0390625
-42.96875,-68.359375,-53.22265625,-59.5703125
-72.265625,-62.01171875,-50.29296875,-77.63671875
-76.66015625,-35.15625,-38.57421875,-57.6171875
-50.78125,-23.92578125,-30.76171875,-25.390625
