TP9,AF7,AF8,TP10
-10.7421875,-45.8984375,-36.1328125,5.859375
-17.578125,-46.38671875,-41.50390625,-3.90625
-40.52734375,-49.8046875,-36.62109375,-79.58984375
-62.01171875,-52.734375,-30.2734375,-122.0703125
-63.96484375,-57.12890625,-34.66796875,-92.7734375
-38.57421875,-45.8984375,-25.87890625,-5.37109375
-37.109375,-43.9453125,-27.34375,2.9296875
-66.40625,-55.6640625,-34.66796875,-77.63671875
-83.0078125,-54.19921875,-39.0625,-133.7890625
-65.91796875,-49.31640625,-42.96875,-105.46875
-41.9921875,-51.7578125,-40.52734375,-22.4609375
-38.0859375,-47.36328125,-40.0390625,0.0
-50.78125,-39.0625,-41.50390625,-68.84765625
-62.5,-43.45703125,-46.875,-136.71875
-52.24609375,-46.875,-51.26953125,-119.62890625
-37.109375,-47.36328125,-49.31640625,-33.69140625
-38.0859375,-48.33984375,-54.19921875,3.41796875
-50.78125,-39.55078125,-63.96484375,-53.7109375
-62.98828125,-45.8984375,-68.84765625,-126.953125
-56.15234375,-61.03515625,-70.80078125,-127.44140625
-29.78515625,-54.6875,-70.3125,-52.734375
-18.5546875,-45.8984375,-69.82421875,-12.20703125
-36.1328125,-43.9453125,-60.546875,-55.6640625
-65.91796875,-42.96875,-54.6875,-122.0703125
-63.96484375,-47.36328125,-56.640625,-129.8828125
-41.015625,-46.875,-58.59375,-62.98828125
-35.15625,-49.31640625,-58.59375,-7.32421875
-43.9453125,-51.26953125,-59.08203125,-45.41015625
-62.98828125,-51.7578125,-61.03515625,-120.1171875
-65.91796875,-52.734375,-59.5703125,-138.671875
-53.7109375,-55.6640625,-56.640625,-82.51953125
-49.31640625,-62.5,-56.15234375,-24.4140625
-60.05859375,-58.59375,-54.19921875,-54.6875
-82.03125,-56.15234375,-60.05859375,-126.953125
-82.51953125,-60.05859375,-65.4296875,-145.99609375
-60.05859375,-58.10546875,-59.08203125,-89.84375
-30.76171875,-51.7578125,-56.15234375,-18.06640625
-24.90234375,-44.921875,-55.17578125,-31.73828125
-52.734375,-38.0859375,-54.19921875,-95.703125
-71.77734375,-45.8984375,-55.17578125,-118.1640625
-56.15234375,-55.6640625,-56.640625,-75.1953125
-32.71484375,-48.828125,-57.6171875,-3.41796875
-38.57421875,-36.1328125,-51.7578125,-3.90625
-59.5703125,-41.50390625,-51.26953125,-69.3359375
-64.94140625,-50.78125,-56.640625,-102.5390625
-50.29296875,-52.24609375,-56.640625,-64.453125
-28.3203125,-42.96875,-52.734375,10.25390625
-29.78515625,-35.15625,-48.33984375,17.578125
-45.8984375,-38.57421875,-49.31640625,-46.875
-54.19921875,-42.96875,-49.8046875,-86.42578125
-43.45703125,-45.41015625,-47.8515625,-61.03515625
-14.6484375,-43.9453125,-47.36328125,8.7890625
-8.30078125,-37.109375,-47.36328125,28.80859375
-23.92578125,-25.87890625,-47.8515625,-30.2734375
-39.55078125,-22.4609375,-41.50390625,-72.75390625
-31.73828125,-34.66796875,-36.62109375,-45.41015625
-11.23046875,-38.0859375,-42.96875,23.4375
-14.16015625,-36.1328125,-45.41015625,45.41015625
-39.0625,-39.55078125,-45.8984375,-11.71875
-62.98828125,-44.43359375,-42.48046875,-73.73046875
-59.5703125,-49.31640625,-41.9921875,-62.01171875
-38.57421875,-54.19921875,-45.41015625,3.41796875
-26.85546875,-46.875,-43.9453125,37.59765625
-40.0390625,-39.55078125,-47.36328125,-5.37109375
-62.5,-52.24609375,-50.29296875,-73.2421875
-56.640625,-53.22265625,-47.36328125,-70.3125
-33.69140625,-48.33984375,-41.50390625,0.9765625
-23.92578125,-51.26953125,-34.1796875,36.62109375
-35.64453125,-43.9453125,-24.90234375,-8.30078125
-65.91796875,-47.36328125,-25.87890625,-79.58984375
-72.265625,-57.12890625,-27.83203125,-87.890625
-48.828125,-50.29296875,-26.85546875,-21.484375
-38.57421875,-42.48046875,-36.1328125,24.90234375
-51.26953125,-45.41015625,-38.0859375,-9.27734375
-68.84765625,-52.24609375,-26.3671875,-71.77734375
-67.87109375,-55.17578125,-27.83203125,-89.84375
-47.36328125,-55.17578125,-35.15625,-41.9921875
-30.2734375,-48.828125,-32.2265625,16.6015625
-35.15625,-41.50390625,-29.78515625,-2.44140625
-59.08203125,-42.96875,-37.109375,-68.359375
-67.87109375,-51.26953125,-45.41015625,-89.84375
-60.546875,-55.6640625,-46.38671875,-42.96875
-40.0390625,-49.31640625,-44.43359375,21.484375
-39.0625,-40.0390625,-40.0390625,8.30078125
-65.91796875,-40.0390625,-39.0625,-64.94140625
-78.125,-51.26953125,-41.50390625,-100.5859375
-62.5,-56.15234375,-41.015625,-58.10546875
-36.62109375,-53.22265625,-37.109375,19.04296875
-39.55078125,-51.26953125,-36.1328125,12.20703125
-49.31640625,-51.26953125,-41.50390625,-57.6171875
-59.5703125,-53.7109375,-41.9921875,-97.65625
-52.734375,-55.6640625,-42.96875,-71.77734375
-34.1796875,-55.17578125,-49.8046875,-7.8125
-43.45703125,-48.828125,-48.33984375,-7.32421875
-50.78125,-44.921875,-38.57421875,-69.3359375
-58.59375,-50.78125,-41.015625,-122.55859375
-62.5,-58.10546875,-57.12890625,-110.83984375
-39.55078125,-58.10546875,-61.5234375,-35.15625
-28.80859375,-46.875,-57.12890625,-7.8125
-52.734375,-52.24609375,-56.15234375,-69.82421875
-76.66015625,-62.98828125,-57.12890625,-128.41796875
-73.73046875,-60.546875,-58.10546875,-102.5390625
-55.6640625,-65.91796875,-57.6171875,-33.69140625
-44.43359375,-66.89453125,-54.6875,-15.13671875
-60.546875,-61.5234375,-55.17578125,-68.84765625
-82.51953125,-68.359375,-60.05859375,-133.7890625
-78.61328125,-73.73046875,-62.5,-130.859375
-66.40625,-74.21875,-64.453125,-67.3828125
-55.17578125,-68.84765625,-64.453125,-31.25
-63.4765625,-59.5703125,-68.359375,-72.75390625
-81.54296875,-59.5703125,-64.453125,-133.30078125
-78.125,-68.359375,-62.5,-133.30078125
-67.87109375,-72.75390625,-68.359375,-75.68359375
-57.12890625,-66.40625,-70.3125,-28.3203125
-60.05859375,-59.08203125,-67.87109375,-53.22265625
-82.51953125,-68.84765625,-65.91796875,-123.046875
-84.47265625,-74.21875,-66.89453125,-139.16015625
