TP9,AF7,AF8,TP10
-60.546875,-71.77734375,-36.1328125,-43.45703125
-48.33984375,-21.97265625,-41.9921875,-40.0390625
-19.53125,-3.41796875,-47.36328125,-33.69140625
-7.8125,-34.1796875,-46.875,-35.15625
-30.76171875,-71.2890625,-45.41015625,-44.921875
-62.5,-55.17578125,-45.8984375,-53.7109375
-59.5703125,-27.83203125,-43.45703125,-50.78125
-32.71484375,-11.23046875,-41.50390625,-48.828125
-33.203125,-33.203125,-41.015625,-50.78125
-57.6171875,-89.84375,-38.0859375,-57.6171875
-78.61328125,-91.796875,-38.57421875,-59.08203125
-69.82421875,-39.55078125,-43.45703125,-49.8046875
-39.55078125,-6.8359375,-47.8515625,-44.43359375
-31.25,-22.4609375,-52.734375,-47.8515625
-47.36328125,-63.96484375,-53.22265625,-49.31640625
-65.91796875,-76.171875,-50.29296875,-43.9453125
-66.89453125,-42.96875,-52.24609375,-39.55078125
-37.109375,-2.44140625,-54.19921875,-32.2265625
-20.01953125,-12.20703125,-49.8046875,-34.66796875
-41.50390625,-82.03125,-45.41015625,-44.43359375
-63.96484375,-101.07421875,-45.8984375,-46.38671875
-58.59375,-51.7578125,-40.0390625,-39.55078125
-29.78515625,1.46484375,-37.109375,-31.25
-16.11328125,-7.32421875,-47.36328125,-31.25
-38.57421875,-77.63671875,-48.33984375,-41.015625
-66.89453125,-102.5390625,-43.9453125,-49.31640625
-72.75390625,-67.87109375,-43.45703125,-46.38671875
-48.33984375,-17.578125,-43.45703125,-39.55078125
-30.76171875,-17.08984375,-43.45703125,-38.0859375
-44.921875,-56.640625,-46.38671875,-45.8984375
-64.453125,-98.6328125,-46.38671875,-59.5703125
-75.1953125,-89.84375,-39.55078125,-59.5703125
-60.546875,-14.16015625,-38.57421875,-57.12890625
-35.15625,-9.27734375,-45.8984375,-58.59375
-38.0859375,-65.91796875,-51.7578125,-60.05859375
-64.453125,-92.7734375,-53.7109375,-66.89453125
-76.171875,-71.77734375,-58.59375,-58.59375
-53.7109375,-17.08984375,-60.546875,-44.921875
-24.4140625,1.953125,-58.10546875,-39.55078125
-33.69140625,-56.15234375,-54.19921875,-43.45703125
-63.4765625,-89.35546875,-48.828125,-51.7578125
-76.66015625,-57.6171875,-49.31640625,-48.33984375
-65.4296875,-31.73828125,-51.7578125,-44.43359375
-43.9453125,-30.2734375,-48.828125,-50.78125
-43.45703125,-45.41015625,-48.33984375,-58.59375
-65.91796875,-89.35546875,-50.29296875,-64.94140625
-83.0078125,-89.84375,-55.17578125,-62.5
-67.87109375,-38.57421875,-50.29296875,-56.15234375
-37.109375,-11.23046875,-38.0859375,-43.45703125
-34.1796875,-38.57421875,-33.203125,-40.52734375
-51.26953125,-80.078125,-35.15625,-44.43359375
-71.2890625,-81.54296875,-36.62109375,-42.96875
-67.3828125,-38.0859375,-44.43359375,-39.55078125
-34.66796875,2.9296875,-46.38671875,-36.1328125
-26.85546875,-25.87890625,-43.45703125,-46.875
-53.7109375,-98.6328125,-52.24609375,-60.546875
-73.73046875,-109.375,-54.19921875,-58.10546875
-63.4765625,-56.15234375,-54.19921875,-50.29296875
-37.59765625,-14.16015625,-53.22265625,-41.015625
-18.5546875,-18.06640625,-44.921875,-34.1796875
-32.71484375,-68.359375,-42.48046875,-45.41015625
-60.546875,-89.35546875,-44.921875,-52.734375
-58.59375,-42.48046875,-48.828125,-45.8984375
-31.73828125,-16.11328125,-51.7578125,-33.69140625
-16.11328125,-17.578125,-51.26953125,-31.73828125
-32.2265625,-45.8984375,-51.26953125,-48.828125
-63.4765625,-98.14453125,-55.17578125,-61.03515625
-68.84765625,-61.5234375,-49.8046875,-51.7578125
-42.96875,-4.8828125,-40.0390625,-41.015625
-30.2734375,-25.87890625,-42.48046875,-45.41015625
-46.875,-61.03515625,-45.41015625,-54.6875
-72.75390625,-84.47265625,-45.41015625,-56.15234375
-79.1015625,-71.2890625,-51.7578125,-50.78125
-53.7109375,-21.484375,-52.734375,-44.921875
-25.87890625,-7.32421875,-50.29296875,-39.55078125
-29.78515625,-53.22265625,-55.17578125,-42.48046875
-54.19921875,-73.2421875,-54.19921875,-50.29296875
-67.87109375,-48.828125,-51.7578125,-48.33984375
-47.8515625,-19.04296875,-49.31640625,-42.48046875
-21.484375,-12.20703125,-50.29296875,-43.45703125
-26.3671875,-55.6640625,-50.29296875,-49.8046875
-56.15234375,-84.47265625,-49.8046875,-58.59375
-80.078125,-67.87109375,-54.6875,-63.96484375
-63.4765625,-27.83203125,-54.6875,-56.15234375
-36.1328125,-15.625,-53.7109375,-47.8515625
-46.875,-54.19921875,-51.26953125,-59.08203125
-75.68359375,-82.51953125,-52.24609375,-71.77734375
-88.8671875,-77.1484375,-56.640625,-65.4296875
-65.4296875,-16.11328125,-49.31640625,-56.640625
-33.69140625,26.3671875,-40.0390625,-45.41015625
-31.73828125,-38.0859375,-40.0390625,-50.78125
-53.7109375,-92.28515625,-43.9453125,-65.4296875
-71.77734375,-83.0078125,-41.9921875,-59.5703125
-63.96484375,-29.296875,-43.45703125,-44.921875
-33.69140625,-2.9296875,-41.9921875,-37.109375
-23.92578125,-20.01953125,-41.015625,-44.43359375
-46.875,-61.5234375,-44.921875,-52.24609375
-70.3125,-80.56640625,-45.41015625,-50.29296875
-59.08203125,-28.3203125,-50.78125,-44.921875
-23.92578125,-14.16015625,-53.22265625,-37.109375
-10.25390625,-32.2265625,-53.22265625,-36.1328125
-33.69140625,-56.640625,-49.8046875,-44.921875
-60.05859375,-85.44921875,-40.0390625,-52.24609375
-62.01171875,-57.6171875,-42.48046875,-48.828125
-36.62109375,-6.8359375,-45.41015625,-41.50390625
-20.99609375,-20.01953125,-45.41015625,-43.45703125
-43.45703125,-70.80078125,-44.43359375,-56.15234375
-70.3125,-82.51953125,-43.9453125,-62.01171875
-71.2890625,-37.59765625,-48.33984375,-55.6640625
-42.96875,-6.8359375,-51.7578125,-53.22265625
-19.04296875,-14.16015625,-57.12890625,-56.15234375
-30.2734375,-52.734375,-53.22265625,-60.546875
-51.26953125,-77.1484375,-47.8515625,-60.05859375
-54.19921875,-38.57421875,-56.640625,-60.05859375
-33.203125,-5.859375,-50.78125,-47.36328125
-19.53125,-28.3203125,-44.921875,-42.96875
-34.66796875,-60.546875,-49.8046875,-54.6875
-61.5234375,-82.03125,-47.36328125,-53.7109375
-73.73046875,-61.03515625,-49.8046875,-48.33984375
-49.8046875,-8.7890625,-53.7109375,-45.41015625
-25.390625,-8.30078125,-47.8515625,-41.50390625
-30.76171875,-48.828125,-48.828125,-42.48046875
-56.640625,-81.54296875,-50.78125,-47.36328125
-67.3828125,-72.75390625,-45.8984375,-42.96875
-44.921875,-19.53125,-44.43359375,-31.73828125
-18.5546875,9.27734375,-38.57421875,-23.92578125
-25.390625,-49.8046875,-33.69140625,-30.2734375
-51.26953125,-89.35546875,-38.0859375,-41.9921875
-61.5234375,-63.4765625,-45.41015625,-42.48046875
-48.828125,-25.87890625,-47.36328125,-39.0625
-20.01953125,-7.32421875,-47.36328125,-36.1328125
-16.11328125,-37.59765625,-47.8515625,-42.96875
-47.8515625,-80.078125,-40.0390625,-57.12890625
-79.1015625,-78.125,-37.59765625,-62.98828125
-73.2421875,-25.390625,-38.57421875,-56.640625
-44.921875,-5.37109375,-38.0859375,-54.19921875
-37.109375,-29.296875,-40.0390625,-61.5234375
-53.7109375,-58.59375,-42.48046875,-64.94140625
-77.1484375,-87.40234375,-54.19921875,-66.40625
-72.265625,-53.7109375,-58.10546875,-58.10546875
-41.015625,-2.44140625,-53.22265625,-49.8046875
-33.69140625,-30.2734375,-49.31640625,-57.12890625
-54.6875,-74.70703125,-45.41015625,-62.01171875
-73.2421875,-86.42578125,-50.29296875,-59.5703125
-70.3125,-48.828125,-55.17578125,-50.29296875
-41.9921875,-13.671875,-48.33984375,-29.78515625
-28.80859375,-25.390625,-47.8515625,-36.62109375
-44.43359375,-68.359375,-46.875,-53.7109375
-65.91796875,-85.9375,-44.921875,-49.31640625
-66.89453125,-26.85546875,-47.8515625,-44.43359375
-39.0625,-5.859375,-49.31640625,-41.50390625
-24.4140625,-40.0390625,-50.29296875,-47.36328125
-39.0625,-69.3359375,-51.26953125,-56.15234375
-60.05859375,-86.9140625,-51.26953125,-59.5703125
-68.359375,-62.01171875,-52.734375,-53.22265625
-42.48046875,-10.25390625,-53.22265625,-43.45703125
-19.04296875,-17.578125,-52.24609375,-44.921875
-34.1796875,-62.5,-48.33984375,-49.8046875
-61.5234375,-76.171875,-49.8046875,-51.7578125
-75.68359375,-69.82421875,-53.22265625,-49.31640625
-55.6640625,-17.578125,-48.33984375,-43.45703125
-28.3203125,3.41796875,-44.921875,-39.0625
-31.73828125,-56.640625,-39.0625,-37.59765625
-60.05859375,-92.7734375,-41.50390625,-46.38671875
-73.73046875,-66.40625,-52.24609375,-53.7109375
-47.8515625,-18.06640625,-52.734375,-43.9453125
-21.484375,-1.46484375,-48.828125,-39.0625
-33.69140625,-49.31640625,-52.24609375,-53.7109375
-68.359375,-81.54296875,-60.05859375,-65.4296875
-87.40234375,-73.73046875,-55.6640625,-60.546875
-73.2421875,-34.1796875,-49.31640625,-49.31640625
-41.015625,-11.71875,-50.78125,-48.33984375
-32.71484375,-32.71484375,-43.9453125,-61.5234375
-58.59375,-61.5234375,-45.8984375,-70.3125
-79.58984375,-76.171875,-52.24609375,-64.453125
-61.5234375,-39.0625,-51.26953125,-55.6640625
-34.66796875,-15.625,-54.19921875,-52.24609375
-34.1796875,-38.57421875,-48.33984375,-55.17578125
-54.6875,-77.1484375,-39.0625,-57.6171875
-73.2421875,-77.1484375,-38.57421875,-54.6875
-65.91796875,-26.3671875,-40.0390625,-47.36328125
-37.109375,-11.71875,-37.59765625,-35.64453125
-26.3671875,-31.73828125,-41.015625,-41.50390625
-45.8984375,-65.4296875,-48.33984375,-47.36328125
-64.453125,-67.3828125,-43.45703125,-41.9921875
-60.546875,-15.625,-43.9453125,-39.0625
-30.76171875,-3.90625,-41.9921875,-29.296875
-20.01953125,-34.1796875,-45.41015625,-29.78515625
-40.0390625,-58.10546875,-51.7578125,-40.52734375
-63.4765625,-79.58984375,-43.9453125,-47.8515625
-66.89453125,-45.8984375,-42.48046875,-43.45703125
-40.0390625,-6.34765625,-44.921875,-36.1328125
-23.92578125,-25.390625,-42.48046875,-40.52734375
-41.9921875,-65.4296875,-45.8984375,-55.17578125
-67.3828125,-77.63671875,-48.33984375,-62.98828125
-70.3125,-54.19921875,-49.31640625,-53.22265625
-40.52734375,-7.8125,-50.29296875,-45.41015625
-15.13671875,3.41796875,-45.41015625,-45.41015625
-33.69140625,-63.96484375,-44.921875,-54.6875
-66.89453125,-99.12109375,-48.33984375,-64.453125
-68.84765625,-61.03515625,-46.875,-54.19921875
-43.45703125,-14.16015625,-42.48046875,-40.52734375
-25.87890625,-9.27734375,-41.50390625,-40.52734375
-33.203125,-43.9453125,-42.48046875,-46.875
-58.10546875,-92.28515625,-46.38671875,-49.31640625
-70.80078125,-76.66015625,-45.8984375,-47.36328125
-49.8046875,-20.01953125,-41.015625,-43.9453125
-26.85546875,-6.34765625,-46.38671875,-42.96875
-34.66796875,-42.48046875,-51.7578125,-48.828125
-61.03515625,-75.1953125,-41.015625,-56.640625
-80.56640625,-86.42578125,-40.0390625,-62.01171875
-61.03515625,-56.15234375,-46.875,-60.546875
-30.76171875,-24.90234375,-46.38671875,-53.7109375
-30.76171875,-44.43359375,-45.41015625,-56.640625
-55.6640625,-75.68359375,-43.45703125,-68.84765625
-74.21875,-78.61328125,-41.9921875,-68.84765625
-62.98828125,-24.4140625,-44.921875,-56.15234375
-40.52734375,1.46484375,-49.31640625,-50.29296875
-37.109375,-32.71484375,-45.41015625,-51.26953125
-62.98828125,-91.796875,-43.45703125,-62.98828125
-83.49609375,-90.33203125,-45.8984375,-68.84765625
-62.01171875,-18.5546875,-45.41015625,-52.24609375
-27.34375,-15.625,-53.7109375,-47.8515625
-28.80859375,-58.10546875,-60.546875,-56.15234375
-55.6640625,-79.1015625,-54.6875,-60.546875
-78.125,-79.58984375,-53.7109375,-62.01171875
-71.2890625,-33.203125,-53.22265625,-49.31640625
-41.015625,-5.37109375,-52.734375,-41.50390625
-29.296875,-21.97265625,-49.8046875,-46.38671875
-47.8515625,-63.4765625,-46.38671875,-56.15234375
-71.2890625,-83.49609375,-46.38671875,-60.05859375
-65.91796875,-41.9921875,-45.41015625,-48.33984375
-36.1328125,-9.27734375,-48.33984375,-37.109375
-17.578125,-0.48828125,-45.8984375,-37.109375
-43.45703125,-58.10546875,-49.31640625,-49.8046875
-75.1953125,-104.00390625,-58.59375,-56.15234375
-71.2890625,-60.546875,-56.15234375,-48.33984375
-44.43359375,-13.18359375,-56.640625,-41.50390625
-24.90234375,-13.671875,-52.734375,-39.55078125
-37.109375,-64.453125,-44.43359375,-45.8984375
-62.98828125,-86.9140625,-45.41015625,-49.8046875
-78.61328125,-62.98828125,-55.17578125,-47.8515625
-55.17578125,-11.23046875,-55.17578125,-41.50390625
-31.25,-9.27734375,-49.8046875,-39.0625
-45.41015625,-63.96484375,-52.24609375,-45.8984375
-70.80078125,-65.4296875,-54.19921875,-51.26953125
-80.078125,-59.5703125,-54.6875,-50.29296875
-49.31640625,-16.11328125,-53.7109375,-39.55078125
-19.04296875,2.9296875,-49.31640625,-29.78515625
-35.15625,-64.453125,-52.24609375,-38.0859375
-66.40625,-95.703125,-57.6171875,-54.6875
-72.75390625,-74.21875,-51.26953125,-51.26953125
-47.36328125,-19.53125,-46.38671875,-35.15625
-23.92578125,-7.32421875,-47.8515625,-36.1328125
-26.3671875,-53.22265625,-43.45703125,-48.828125
-51.26953125,-81.54296875,-39.0625,-52.734375
-67.87109375,-66.40625,-37.109375,-48.33984375
-50.29296875,-6.8359375,-39.0625,-41.9921875
-26.3671875,-6.8359375,-47.36328125,-41.015625
