TP9,AF7,AF8,TP10
-38.0859375,-46.38671875,-46.38671875,-37.109375
-42.96875,-58.10546875,-53.7109375,-66.89453125
-48.33984375,-40.0390625,-52.734375,-65.4296875
-54.6875,-42.96875,-45.41015625,-62.5
-62.01171875,-42.96875,-38.57421875,-53.22265625
-60.05859375,-40.0390625,-41.015625,-31.25
-64.453125,-70.3125,-46.38671875,-57.12890625
-62.01171875,-46.38671875,-43.45703125,-60.05859375
-63.4765625,-33.69140625,-43.9453125,-56.15234375
-73.73046875,-46.875,-50.29296875,-59.08203125
-61.5234375,-52.24609375,-45.41015625,-37.59765625
-53.7109375,-64.94140625,-50.78125,-57.6171875
-54.6875,-42.96875,-54.19921875,-68.84765625
-62.98828125,-38.0859375,-48.33984375,-66.89453125
-71.77734375,-41.015625,-50.78125,-59.5703125
-55.17578125,-44.43359375,-49.31640625,-25.390625
-46.38671875,-59.5703125,-43.45703125,-37.109375
-55.6640625,-37.109375,-39.55078125,-51.7578125
-62.5,-41.015625,-37.109375,-48.828125
-72.75390625,-46.38671875,-41.015625,-51.7578125
-67.87109375,-44.921875,-40.52734375,-21.97265625
-34.66796875,-71.77734375,-40.52734375,-9.765625
-24.4140625,-46.875,-42.48046875,-33.69140625
-54.6875,-23.4375,-43.45703125,-61.03515625
-69.82421875,-32.71484375,-46.38671875,-67.3828125
-63.96484375,-33.203125,-46.38671875,-42.96875
-60.05859375,-49.8046875,-54.19921875,-58.59375
-63.4765625,-41.50390625,-63.4765625,-92.28515625
-54.6875,-16.11328125,-63.96484375,-86.9140625
-60.546875,-2.44140625,-66.89453125,-94.23828125
-61.5234375,-13.671875,-69.3359375,-73.73046875
-52.734375,-37.59765625,-66.89453125,-70.3125
-56.640625,-26.85546875,-68.359375,-106.4453125
-46.38671875,1.953125,-66.89453125,-95.21484375
-43.9453125,1.953125,-64.453125,-84.47265625
-43.45703125,-1.953125,-67.87109375,-58.10546875
-37.59765625,-12.6953125,-70.3125,-52.24609375
-34.1796875,-19.53125,-69.82421875,-75.1953125
-32.71484375,2.44140625,-63.96484375,-64.453125
-42.48046875,-8.7890625,-62.01171875,-70.80078125
-37.59765625,-16.6015625,-60.05859375,-50.29296875
-15.13671875,-5.859375,-57.6171875,-27.83203125
-20.99609375,-37.109375,-68.359375,-62.01171875
-26.3671875,-34.66796875,-66.40625,-60.546875
-20.99609375,-13.18359375,-51.26953125,-49.31640625
-21.97265625,-12.6953125,-52.734375,-41.015625
-8.7890625,-22.4609375,-56.640625,-23.4375
-14.16015625,-36.1328125,-52.734375,-45.8984375
-16.11328125,-17.578125,-49.31640625,-46.875
-15.625,-16.11328125,-44.43359375,-41.9921875
-20.01953125,-19.04296875,-40.52734375,-31.73828125
-10.25390625,-21.97265625,-39.0625,-10.7421875
-18.06640625,-43.45703125,-44.921875,-40.0390625
-20.5078125,-13.671875,-46.875,-48.33984375
-31.73828125,-20.5078125,-55.6640625,-49.31640625
-53.7109375,-59.08203125,-62.01171875,-54.6875
-32.71484375,-32.71484375,-55.17578125,-20.01953125
-24.90234375,-41.50390625,-60.546875,-37.109375
-24.4140625,-38.0859375,-55.17578125,-49.8046875
-16.11328125,-26.3671875,-49.8046875,-38.57421875
-24.90234375,-25.390625,-53.7109375,-40.0390625
-9.27734375,-21.97265625,-45.41015625,-14.16015625
-6.8359375,-51.26953125,-42.96875,-29.296875
-19.53125,-44.43359375,-45.41015625,-50.78125
-19.04296875,-19.04296875,-45.8984375,-38.57421875
-29.296875,-18.5546875,-50.78125,-41.50390625
-30.2734375,-43.45703125,-58.10546875,-27.83203125
-19.04296875,-53.22265625,-59.08203125,-34.66796875
-19.53125,-34.66796875,-54.19921875,-53.22265625
-28.80859375,-37.109375,-49.31640625,-48.828125
-49.8046875,-42.48046875,-44.921875,-57.6171875
-40.52734375,-29.78515625,-47.8515625,-33.203125
-15.13671875,-46.38671875,-58.10546875,-24.4140625
-28.3203125,-44.43359375,-57.12890625,-64.453125
-45.41015625,-18.06640625,-49.8046875,-75.1953125
-53.22265625,-31.25,-46.875,-76.171875
-47.36328125,-19.04296875,-44.43359375,-44.43359375
-36.1328125,-29.78515625,-50.78125,-33.203125
-46.875,-60.05859375,-59.5703125,-68.359375
-44.921875,-34.1796875,-54.19921875,-62.98828125
-44.43359375,-29.78515625,-48.828125,-56.15234375
-45.8984375,-39.0625,-50.29296875,-41.50390625
-27.34375,-41.50390625,-50.29296875,-29.78515625
-26.3671875,-50.78125,-54.6875,-55.17578125
-27.34375,-34.1796875,-52.734375,-52.24609375
-22.4609375,-33.69140625,-46.38671875,-46.38671875
-26.85546875,-33.203125,-49.8046875,-33.203125
-22.4609375,-43.45703125,-52.24609375,-18.5546875
-23.92578125,-47.8515625,-52.24609375,-45.8984375
-21.97265625,-11.71875,-47.8515625,-38.0859375
-36.1328125,-39.55078125,-45.8984375,-36.62109375
-53.22265625,-45.41015625,-45.8984375,-35.15625
-40.52734375,-36.1328125,-46.875,-18.5546875
-41.50390625,-64.453125,-55.6640625,-48.33984375
-42.48046875,-44.43359375,-52.734375,-52.24609375
-42.96875,-28.80859375,-48.828125,-48.828125
-52.734375,-38.0859375,-48.33984375,-42.96875
-41.9921875,-37.59765625,-52.24609375,-20.5078125
-35.64453125,-49.8046875,-58.59375,-39.0625
-35.64453125,-47.8515625,-54.6875,-50.29296875
-35.64453125,-40.0390625,-48.828125,-41.50390625
-43.9453125,-28.3203125,-52.24609375,-35.15625
-42.48046875,-41.015625,-51.26953125,-18.06640625
-44.43359375,-71.2890625,-46.38671875,-39.0625
-48.33984375,-53.22265625,-46.38671875,-58.59375
-50.78125,-45.41015625,-43.9453125,-56.640625
-58.59375,-52.24609375,-40.0390625,-56.15234375
-48.33984375,-41.50390625,-37.59765625,-26.3671875
-35.64453125,-59.08203125,-44.43359375,-40.52734375
-37.109375,-57.6171875,-51.26953125,-63.4765625
-35.15625,-43.9453125,-51.7578125,-50.78125
-46.38671875,-51.7578125,-49.8046875,-52.734375
-41.50390625,-41.9921875,-45.8984375,-32.71484375
-32.71484375,-44.921875,-44.43359375,-39.55078125
-41.50390625,-46.38671875,-47.36328125,-63.96484375
-50.78125,-46.875,-51.26953125,-59.5703125
-65.91796875,-54.19921875,-50.29296875,-68.359375
-59.08203125,-45.41015625,-46.38671875,-44.43359375
-45.8984375,-59.08203125,-55.17578125,-44.43359375
-42.48046875,-61.5234375,-57.6171875,-76.66015625
-37.109375,-42.96875,-53.22265625,-66.89453125
-50.29296875,-39.55078125,-56.640625,-65.91796875
-48.33984375,-28.80859375,-49.31640625,-41.015625
-40.52734375,-43.45703125,-43.45703125,-37.109375
-57.6171875,-57.12890625,-52.734375,-79.1015625
-62.01171875,-21.97265625,-57.6171875,-77.1484375
-65.91796875,-42.48046875,-59.5703125,-77.1484375
-83.0078125,-64.94140625,-61.5234375,-74.70703125
-77.1484375,-48.828125,-54.19921875,-57.12890625
-76.66015625,-69.3359375,-54.6875,-84.9609375
-72.75390625,-51.7578125,-54.6875,-87.890625
-71.77734375,-46.38671875,-50.78125,-77.1484375
-73.2421875,-48.33984375,-49.31640625,-63.4765625
-62.98828125,-47.36328125,-54.19921875,-52.24609375
-53.7109375,-50.29296875,-62.98828125,-73.73046875
-48.828125,-34.66796875,-48.33984375,-60.05859375
-85.44921875,-39.0625,-39.0625,-76.171875
-110.83984375,-29.78515625,-43.45703125,-88.8671875
-106.4453125,-54.6875,-43.9453125,-75.1953125
-118.65234375,-92.28515625,-55.17578125,-112.79296875
-113.76953125,-62.01171875,-50.78125,-115.234375
-116.69921875,-59.08203125,-43.9453125,-108.88671875
-122.55859375,-65.91796875,-46.875,-110.83984375
-107.91015625,-74.70703125,-39.55078125,-84.47265625
-112.79296875,-116.2109375,-41.015625,-105.46875
-103.02734375,-103.515625,-42.48046875,-104.00390625
-99.12109375,-91.30859375,-40.52734375,-85.44921875
-106.93359375,-99.609375,-35.64453125,-79.58984375
-85.9375,-115.234375,-26.3671875,-41.015625
-87.890625,-118.65234375,-22.94921875,-60.05859375
-93.75,-91.30859375,-18.5546875,-82.03125
-88.37890625,-80.56640625,-22.94921875,-64.453125
-86.9140625,-90.33203125,-22.94921875,-52.24609375
-76.171875,-91.30859375,-15.625,-23.92578125
-68.84765625,-97.65625,-19.53125,-32.2265625
-55.17578125,-86.42578125,-24.4140625,-42.48046875
-41.015625,-66.89453125,-20.5078125,-22.4609375
-47.8515625,-69.3359375,-25.390625,-29.78515625
-29.78515625,-62.98828125,-29.296875,4.8828125
-23.92578125,-89.35546875,-31.73828125,9.27734375
-38.57421875,-78.125,-34.66796875,-22.94921875
-35.15625,-44.921875,-33.69140625,-13.671875
-41.015625,-64.94140625,-41.50390625,-15.13671875
-26.85546875,-58.59375,-40.0390625,13.18359375
-18.06640625,-64.94140625,-34.1796875,15.13671875
-44.43359375,-81.54296875,-39.55078125,-29.78515625
-49.31640625,-62.98828125,-43.9453125,-28.80859375
-41.015625,-55.17578125,-35.15625,-23.4375
