TP9,AF7,AF8,TP10
-550.78125,-1000.0,-1000.0,-126.46484375
-197.265625,-839.35546875,-562.5,-63.4765625
355.95703125,505.859375,784.66796875,34.66796875
353.02734375,999.51171875,999.51171875,35.64453125
-177.24609375,155.76171875,149.4140625,-56.15234375
-553.22265625,-1000.0,-1000.0,-128.90625
-262.20703125,-995.60546875,-784.1796875,-73.2421875
314.94140625,254.39453125,556.15234375,43.45703125
394.53125,999.51171875,999.51171875,48.33984375
-124.51171875,148.92578125,149.4140625,-62.5
-545.41015625,-1000.0,-1000.0,-131.34765625
-319.82421875,-1000.0,-995.60546875,-84.47265625
243.1640625,-105.46875,220.21484375,1.46484375
416.9921875,999.51171875,999.51171875,40.0390625
-47.8515625,312.5,181.15234375,-35.15625
-521.97265625,-999.51171875,-1000.0,-126.46484375
-376.46484375,-1000.0,-1000.0,-88.37890625
210.9375,32.71484375,34.66796875,19.04296875
451.171875,999.51171875,999.51171875,47.8515625
16.11328125,518.06640625,313.4765625,-40.52734375
-497.55859375,-816.89453125,-952.63671875,-134.27734375
-428.22265625,-1000.0,-1000.0,-108.88671875
147.94921875,-215.8203125,-161.1328125,-7.32421875
454.1015625,999.51171875,999.51171875,41.015625
101.5625,822.265625,525.390625,-21.484375
-429.6875,-511.71875,-826.171875,-120.60546875
-473.6328125,-1000.0,-1000.0,-113.76953125
65.91796875,-194.82421875,-202.63671875,-12.20703125
433.59375,960.44921875,999.51171875,46.38671875
160.64453125,999.51171875,841.30859375,-12.20703125
-366.69921875,126.46484375,-466.796875,-114.74609375
-511.71875,-1000.0,-1000.0,-133.30078125
6.8359375,-337.890625,-200.1953125,-33.69140625
453.125,965.33203125,999.51171875,51.26953125
226.07421875,999.51171875,948.2421875,-3.41796875
-337.40234375,6.8359375,-278.80859375,-124.51171875
-549.8046875,-1000.0,-1000.0,-154.296875
-65.4296875,-424.8046875,-263.671875,-63.96484375
421.875,883.7890625,969.23828125,17.08984375
275.390625,999.51171875,999.51171875,-9.765625
-262.6953125,193.84765625,-45.8984375,-101.5625
-540.0390625,-1000.0,-1000.0,-146.484375
-138.18359375,-687.98828125,-417.96875,-70.80078125
373.53515625,699.21875,884.765625,11.71875
320.3125,999.51171875,999.51171875,-6.8359375
-200.68359375,159.1796875,132.32421875,-92.28515625
-541.9921875,-1000.0,-1000.0,-143.5546875
-212.40234375,-992.1875,-657.2265625,-83.49609375
353.02734375,245.1171875,702.1484375,10.7421875
387.6953125,999.51171875,999.51171875,24.90234375
-124.0234375,281.25,164.55078125,-79.1015625
-536.62109375,-1000.0,-1000.0,-158.203125
-302.734375,-1000.0,-852.5390625,-106.4453125
276.85546875,171.875,464.84375,-6.34765625
397.94921875,999.51171875,999.51171875,19.53125
-87.40234375,279.296875,170.8984375,-65.4296875
-532.71484375,-1000.0,-1000.0,-144.04296875
-337.890625,-1000.0,-1000.0,-110.83984375
238.28125,104.98046875,215.33203125,-19.04296875
421.38671875,999.51171875,999.51171875,11.71875
-33.69140625,332.51953125,231.4453125,-70.3125
-513.18359375,-931.15234375,-996.58203125,-159.1796875
-377.9296875,-1000.0,-1000.0,-126.46484375
195.80078125,-187.5,-30.76171875,-13.18359375
